Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",231
AmazonS3,ListBucket,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",8353
AmazonS3,ListBucket,DataTransfer-Out-Bytes,notyoursoldier.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",231
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",16414
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.momsrising.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",1154100
AmazonS3,GetObject,DataTransfer-Out-Bytes,corpwatch.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",472693361
AmazonS3,GetObject,DataTransfer-Out-Bytes,stepitup2007.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",264722057
AmazonS3,GetObject,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",872169776
AmazonS3,GetObject,DataTransfer-Out-Bytes,seiuvoice.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",447984951
AmazonS3,GetObject,DataTransfer-Out-Bytes,notyoursoldier.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",2982036238
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",7521939
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",1056111
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.catalogcutdown.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",396476
AmazonS3,GetObject,DataTransfer-Out-Bytes,everythingscool.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",221314
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.womenarts.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",341653
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",924
AmazonS3,GetObject,DataTransfer-Out-Bytes,unitedforpeace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",134461
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",4701418
AmazonS3,GetObject,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",5821141
AmazonS3,ListAllMyBuckets,DataTransfer-Out-Bytes,,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",7940
AmazonS3,ListBucket,DataTransfer-Out-Bytes,corpwatch.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",231
AmazonS3,ListBucket,DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",35547
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,corpwatch.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",23188
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",18664
AmazonS3,GetObject,DataTransfer-Out-Bytes,seiuvoice.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",378271809
AmazonS3,GetObject,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",781098933
AmazonS3,GetObject,DataTransfer-Out-Bytes,notyoursoldier.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",2880718727
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",688066
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",2054841
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",37979
